Borrower_ID,Age,Employment_Type,Monthly_Income,Num_Dependents,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Num_Missed_Payments,Days_Past_Due,Collection_Method,Num_Recovery_Attempts,Legal_Action_Taken,Recovery_Status
BOR_00001,39,Salaried,4381.58,1,322570.86,48,9.1,350752.4,257227.77,8042.58,4,54,Field Visit,4,0,Write-off
BOR_00002,33,Salaried,3495.69,1,273072.26,36,8.51,178609.04,156152.67,8621.52,1,38,Email,1,0,Partial Recovery
BOR_00003,41,Self-employed,4797.94,0,294313.3,24,13.63,278141.34,135448.04,14078.87,1,49,Phone,3,0,Write-off
BOR_00004,50,Self-employed,8821.35,1,625355.33,84,11.51,319471.47,269865.35,10877.06,3,82,Email,6,0,Partial Recovery
BOR_00005,32,Salaried,1249.66,2,65916.61,60,11.06,29777.07,35527.35,1435.15,2,36,Phone,1,1,Full Recovery
BOR_00006,32,Unemployed,1057.51,0,60643.91,36,10.72,52599.17,17160.18,1977.25,1,10,SMS,4,0,Write-off
BOR_00007,50,Salaried,5615.68,1,285833.71,60,13.99,213573.38,148762.05,6649.82,1,19,Email,5,0,Partial Recovery
BOR_00008,42,Self-employed,5678.35,2,198525.82,12,9.84,172579.4,22870.78,17438.7,1,1,Phone,3,0,Partial Recovery
BOR_00009,30,Self-employed,4532.99,2,334255.11,24,13.04,143726.64,96090.94,15897.37,2,46,Legal Notice,1,1,Write-off
BOR_00010,40,Business,4744.09,1,166319.71,48,10.49,91548.48,140277.39,4257.74,4,90,Field Visit,5,0,Partial Recovery
BOR_00011,30,Self-employed,3202.37,1,222390.48,24,12.47,27987.16,58017.54,10518.03,1,49,Field Visit,4,1,Write-off
BOR_00012,30,Business,4611.92,1,192705.15,48,14.12,15110.89,3440.99,5277.15,0,0,SMS,1,0,Partial Recovery
BOR_00013,37,Salaried,7152.01,1,259904.84,60,12.16,98812.1,22622.59,5801.82,1,43,Field Visit,1,0,Full Recovery
BOR_00014,18,Business,5651.15,1,205450.45,36,9.13,22881.08,31050.05,6545.33,2,50,Field Visit,3,0,Write-off
BOR_00015,18,Salaried,7041.91,3,457846.32,60,8.74,71269.3,251253.42,9446.59,0,0,SMS,4,0,Write-off
BOR_00016,29,Business,6818.02,2,377084.05,60,14.55,459813.5,267504.68,8882.6,3,73,Legal Notice,4,0,Full Recovery
BOR_00017,24,Self-employed,1783.19,4,99280.5,84,14.29,5789.1,39817.1,1876.21,1,11,Phone,1,0,Full Recovery
BOR_00018,38,Business,2458.86,2,122228.6,60,11.45,120812.49,72591.51,2685.11,1,58,Legal Notice,2,0,Partial Recovery
BOR_00019,25,Salaried,1393.72,2,74696.63,36,16.77,30538.72,17339.93,2654.76,7,287,Email,1,0,Partial Recovery
BOR_00020,20,Self-employed,500.0,2,35798.54,36,15.33,46800.09,26293.13,1246.81,1,50,Email,1,0,Write-off
BOR_00021,49,Self-employed,5601.38,2,305815.19,48,9.67,222477.01,195629.35,7707.65,1,1,Phone,1,0,Partial Recovery
BOR_00022,32,Self-employed,5271.81,0,367433.5,36,10.34,168418.54,167449.51,11914.49,0,0,Email,4,0,Write-off
BOR_00023,35,Salaried,1837.62,1,64943.37,24,17.59,50425.83,12879.07,3229.52,5,83,SMS,3,0,Write-off
BOR_00024,20,Salaried,5432.06,2,245827.85,24,11.22,140843.88,98396.76,11483.17,1,45,Legal Notice,1,0,Write-off
BOR_00025,29,Salaried,4033.88,1,182954.06,12,10.26,154861.76,40779.12,16106.87,2,5,Legal Notice,5,1,Write-off
BOR_00026,36,Salaried,5293.59,1,302821.87,48,10.5,52024.59,216112.38,7752.67,0,0,Legal Notice,5,0,Write-off
BOR_00027,23,Business,9469.33,1,495862.74,84,10.64,741555.67,225989.32,8397.18,2,34,Email,3,0,Full Recovery
BOR_00028,38,Salaried,6793.68,1,291525.86,24,11.2,186090.81,203254.13,13615.07,2,26,Legal Notice,7,1,Write-off
BOR_00029,28,Retired,1785.18,1,121349.1,24,12.97,63386.21,14989.97,5767.17,4,33,Email,1,0,Write-off
BOR_00030,32,Salaried,3217.62,0,99931.07,36,16.21,106458.04,72497.38,3523.5,2,14,Field Visit,3,0,Partial Recovery
BOR_00031,28,Salaried,696.37,2,32685.24,48,14.05,17841.21,19507.26,893.99,2,17,Phone,5,0,Partial Recovery
BOR_00032,53,Business,5811.05,2,389919.99,12,13.97,487365.46,237466.98,35003.88,2,7,Email,2,0,Write-off
BOR_00033,34,Self-employed,3472.17,2,138573.85,60,10.47,94425.07,38348.97,2976.28,0,0,Legal Notice,2,0,Full Recovery
BOR_00034,24,Salaried,2420.51,0,160078.62,36,14.34,172778.88,78210.62,5497.69,5,125,Legal Notice,2,0,Write-off
BOR_00035,43,Self-employed,3671.86,3,133405.4,24,11.45,21502.26,66935.77,6245.72,1,15,SMS,5,0,Partial Recovery
BOR_00036,22,Self-employed,3353.7,1,114350.98,24,14.61,145131.83,74737.57,5523.13,6,166,Field Visit,2,0,Write-off
BOR_00037,37,Salaried,4550.29,0,358674.1,36,14.46,395824.48,93146.85,12339.44,3,165,Phone,1,0,Partial Recovery
BOR_00038,18,Retired,1184.0,1,67773.53,24,15.62,21523.19,17001.13,3306.08,3,100,SMS,3,1,Write-off
BOR_00039,21,Retired,1707.94,1,107506.37,120,9.86,23428.76,22608.72,1412.11,2,24,SMS,3,0,Partial Recovery
BOR_00040,36,Self-employed,5104.85,4,324683.75,12,8.8,154042.48,58948.43,28363.3,1,43,Phone,1,0,Partial Recovery
